,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude,subs_rank,channel_views_rank
782,Neha Kakkar,14100000,2131548711,Music,Neha Kakkar,149,India,IN,Music,110,134,25605000,6400,102400,76800,1200000,100000,2012,Oct,22,28.1,1366417754,5.36,471031528,20.593684,78.96288,907,907
783,#Refugio Mental,14100000,3594936775,Entertainment,#Refugio Mental,846,Unknown,Unknown,Entertainment,Unknown,155,6942000,1700,27800,20800,333200,0,2013,Aug,10,Unknown,Unknown,Unknown,Unknown,No Data,No Data,800,800
784,ýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýý,14100000,3920221322,Entertainment,ýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýý,65,Unknown,Unknown,Unknown,Unknown,Unknown,20351,5,81,61,977,132,2017,Aug,4,Unknown,Unknown,Unknown,Unknown,No Data,No Data,775,775
785,Trap City,14100000,5129529846,Music,TrapCity,3,Australia,AU,People,3671,7629,147,0.04,0.59,0.44,7,1,2015,Nov,4,113.1,25766605,5.27,21844756,-25.274398,133.775136,674,674
786,Supercar Blondie,14100000,5405563355,Autos & Vehicles,Supercar Blondie,855,United Arab Emirates,AE,Autos,7,1,353259000,88300,1400000,1100000,17000000,500000,2007,Sep,12,36.8,9770529,2.35,8479744,23.424076,53.847818,653,653
787,Yudist Ardhana,14100000,6036496916,Entertainment,Yudist Ardhana,2854,Indonesia,ID,Entertainment,27,154,176062000,44000,704200,528200,8500000,400000,2016,Jan,6,36.3,270203917,4.69,151509724,-0.789275,113.921327,613,613
788,Lana Del Rey,14100000,6884215292,Music,Lana Del Rey,43,United States,US,Music,160,135,135563000,33900,542300,406700,6500000,200000,2011,May,5,88.2,328239523,14.7,270663028,37.09024,-95.712891,560,560
789,MalumaVEVO,14100000,19013942981,Music,MalumaVEVO,182,United States,US,Music,160,135,98834000,24700,395300,296500,4700000,0,2011,Jun,15,88.2,328239523,14.7,270663028,37.09024,-95.712891,136,136
790,F2Freestylers - Ultimate Soccer Skills Channel,14100000,3280481927,Sports,F2Freestylers - Ultimate Soccer Skills Channï¿½,777,United Kingdom,GB,Sports,28,10,10222000,2600,40900,30700,490600,0,2011,Apr,9,60,66834405,3.85,55908316,55.378051,-3.435973,822,822
791,Bie The Ska,14100000,4627069704,Entertainment,Bie The Ska,1540,Thailand,TH,Entertainment,14,155,12502000,3100,50000,37500,600100,100000,2006,Oct,3,49.3,69625582,0.75,35294600,15.870032,100.992541,708,708
